abstract,title,group_id
"One major problem with adenovirus gene therapy has been the T-cell mediated immune response elicited by inoculation of adenovirus, which leads to rapid clearance of the virus and loss of transgene expression. In the instant invention, the immune response to a virus is prevented by pre-treatment with adenovirus, adenoassociated virus or herpes virus infected antigen-presenting cell (APC) expressing Fas ligand with induced T-cell tolerance. Administration of AdCMVLacZ after tolerance resulted in prolonged expression of LacZ in tolerized animals compared to control treated animals. In control, but not tolerized animals, there was proliferation of CD3+ T-cell in the spleen in response to AdCMVLacZ treatment. Tolerance induction is also indicated by decreased production of interferon-&ggr; and IL-2 by peripheral T-cells isolated from treated animals after stimulation with the adenovirus infected APCs. T-cell tolerance is specific for the virus as the T-cell responses to an irrelative virus, mouse cytomegalovirus (MCMV) remained unimpaired. The instant invention utilizes virus specific T-cell tolerance, which is induced by APCs that co-express Fas ligand and virus antigens. The instant invention involves novel vectors and methods to induce tolerance to a viral vector gene therapy and prolong expression of a transgene in a viral host.",Controlling immune response to specific antigens,A61K
In a method of sterilizing containers the container is first sealed and then subjected to electron irradiation. The ozone generated in this way is then retained in the closed container for the purpose of sterilizing the same.,Method of sterilizing closed containers,A61L
In a method of sterilizing containers the container is first sealed and then subjected to electron irradiation. The ozone generated in this way is then retained in the closed container for the purpose of sterilizing the same.,Method of sterilizing closed containers,A61L
In a method of sterilizing containers the container is first sealed and then subjected to electron irradiation. The ozone generated in this way is then retained in the closed container for the purpose of sterilizing the same.,Method of sterilizing closed containers,A61L
" The friction clutch comprises a reaction plate designed to be blocked on a driving shaft, a friction disk, bearing at its external periphery friction linings, a pressure plate, a cover (52) fixed on the reaction plate, an axially operating clutching device (53) controlled by a disengaging device and which operate between the cover (52) and the pressure plate through a support device, the pressure plate being integral in rotation with the cover (52) and being subjected to the action of an elastic return device (9) axially returning the pressure plate towards the cover (52). The clutch also comprises a wear take-up device comprising a toothed gear (59) with which a worm screw (63) co-operates and a device (90) for resetting in the position corresponding to linings in new condition, the device (90) being placed at the worm screw (63) tip to drive the latter in rotation. ",Friction clutch with wear take-up device provided with resetting means and tool adapted to reset said device,F16D
" The friction clutch comprises a reaction plate designed to be blocked on a driving shaft, a friction disk, bearing at its external periphery friction linings, a pressure plate, a cover (52) fixed on the reaction plate, an axially operating clutching device (53) controlled by a disengaging device and which operate between the cover (52) and the pressure plate through a support device, the pressure plate being integral in rotation with the cover (52) and being subjected to the action of an elastic return device (9) axially returning the pressure plate towards the cover (52). The clutch also comprises a wear take-up device comprising a toothed gear (59) with which a worm screw (63) co-operates and a device (90) for resetting in the position corresponding to linings in new condition, the device (90) being placed at the worm screw (63) tip to drive the latter in rotation. ",Friction clutch with wear take-up device provided with resetting means and tool adapted to reset said device,F16D
" A device comprising a cylindrical sliding gate (3), transversely arranged relative to the air conduit(s) (2) in a bore (4) arranged in a cylinder head (1) movable between a first position closing (P2) the conduit (2) and a second position opening (P1) the conduit (2) by the action of an actuating arrangement (16, 14; 17; 18, 19). ",Device for controlling the opening and closing of at least an internal combustion engine cylinder head air conduit,F02D
" A device comprising a cylindrical sliding gate (3), transversely arranged relative to the air conduit(s) (2) in a bore (4) arranged in a cylinder head (1) movable between a first position closing (P2) the conduit (2) and a second position opening (P1) the conduit (2) by the action of an actuating arrangement (16, 14; 17; 18, 19). ",Device for controlling the opening and closing of at least an internal combustion engine cylinder head air conduit,F02D
"The invention concerns plants with improved resistance to certain stilbene-sensitive pathogenic agents, and more particularly a set of constructs combining a plant promoter inductible by biotic stress, generated in particular by said pathogens, and gene(s) coding f r a stilbene synthase.",Nucleic acid comprising the sequence of a promoter unductible by stress and a gene sequence coding for a stilbene synthase,C12N
"The invention concerns plants with improved resistance to certain stilbene-sensitive pathogenic agents, and more particularly a set of constructs combining a plant promoter inductible by biotic stress, generated in particular by said pathogens, and gene(s) coding f r a stilbene synthase.",Nucleic acid comprising the sequence of a promoter unductible by stress and a gene sequence coding for a stilbene synthase,C12N
"The invention concerns plants with improved resistance to certain stilbene-sensitive pathogenic agents, and more particularly a set of constructs combining a plant promoter inductible by biotic stress, generated in particular by said pathogens, and gene(s) coding f r a stilbene synthase.",Nucleic acid comprising the sequence of a promoter unductible by stress and a gene sequence coding for a stilbene synthase,C12N
"The invention concerns plants with improved resistance to certain stilbene-sensitive pathogenic agents, and more particularly a set of constructs combining a plant promoter inductible by biotic stress, generated in particular by said pathogens, and gene(s) coding f r a stilbene synthase.",Nucleic acid comprising the sequence of a promoter unductible by stress and a gene sequence coding for a stilbene synthase,C12N
"The invention concerns plants with improved resistance to certain stilbene-sensitive pathogenic agents, and more particularly a set of constructs combining a plant promoter inductible by biotic stress, generated in particular by said pathogens, and gene(s) coding f r a stilbene synthase.",Nucleic acid comprising the sequence of a promoter unductible by stress and a gene sequence coding for a stilbene synthase,C12N
"The invention concerns plants with improved resistance to certain stilbene-sensitive pathogenic agents, and more particularly a set of constructs combining a plant promoter inductible by biotic stress, generated in particular by said pathogens, and gene(s) coding f r a stilbene synthase.",Nucleic acid comprising the sequence of a promoter unductible by stress and a gene sequence coding for a stilbene synthase,C12N
"The invention concerns plants with improved resistance to certain stilbene-sensitive pathogenic agents, and more particularly a set of constructs combining a plant promoter inductible by biotic stress, generated in particular by said pathogens, and gene(s) coding f r a stilbene synthase.",Nucleic acid comprising the sequence of a promoter unductible by stress and a gene sequence coding for a stilbene synthase,C12N
"The invention concerns plants with improved resistance to certain stilbene-sensitive pathogenic agents, and more particularly a set of constructs combining a plant promoter inductible by biotic stress, generated in particular by said pathogens, and gene(s) coding f r a stilbene synthase.",Nucleic acid comprising the sequence of a promoter unductible by stress and a gene sequence coding for a stilbene synthase,C07K
"The invention concerns plants with improved resistance to certain stilbene-sensitive pathogenic agents, and more particularly a set of constructs combining a plant promoter inductible by biotic stress, generated in particular by said pathogens, and gene(s) coding f r a stilbene synthase.",Nucleic acid comprising the sequence of a promoter unductible by stress and a gene sequence coding for a stilbene synthase,C12N
"An energy converting circuit, boosting the voltage supplied by a low direct voltage source, comprising a self-oscillating circuit, operating at very low voltage, using a voltage boosting transformer generating control signals of two chopper-boosters operating alternately. The circuit including an enhancement-type field effect translator used in synchronous switching with the self-oscillating circuit, which is in serial connection with an inductive resistor to the terminals of the source (1). The transistor being connected to a user circuit via a diode (15, 16). The circuit is used in a device for supplying electricity to appliances and by the production of thermal converters for the utilization of low-voltage thermoelectricity, as well as in a method for the manufacture of thermal converters on an industrial scale.",Power converter for supplying electricity from a difference in temperature,H01L
"An energy converting circuit, boosting the voltage supplied by a low direct voltage source, comprising a self-oscillating circuit, operating at very low voltage, using a voltage boosting transformer generating control signals of two chopper-boosters operating alternately. The circuit including an enhancement-type field effect translator used in synchronous switching with the self-oscillating circuit, which is in serial connection with an inductive resistor to the terminals of the source (1). The transistor being connected to a user circuit via a diode (15, 16). The circuit is used in a device for supplying electricity to appliances and by the production of thermal converters for the utilization of low-voltage thermoelectricity, as well as in a method for the manufacture of thermal converters on an industrial scale.",Power converter for supplying electricity from a difference in temperature,G04C
"An energy converting circuit, boosting the voltage supplied by a low direct voltage source, comprising a self-oscillating circuit, operating at very low voltage, using a voltage boosting transformer generating control signals of two chopper-boosters operating alternately. The circuit including an enhancement-type field effect translator used in synchronous switching with the self-oscillating circuit, which is in serial connection with an inductive resistor to the terminals of the source (1). The transistor being connected to a user circuit via a diode (15, 16). The circuit is used in a device for supplying electricity to appliances and by the production of thermal converters for the utilization of low-voltage thermoelectricity, as well as in a method for the manufacture of thermal converters on an industrial scale.",Power converter for supplying electricity from a difference in temperature,H02M
"An energy converting circuit, boosting the voltage supplied by a low direct voltage source, comprising a self-oscillating circuit, operating at very low voltage, using a voltage boosting transformer generating control signals of two chopper-boosters operating alternately. The circuit including an enhancement-type field effect translator used in synchronous switching with the self-oscillating circuit, which is in serial connection with an inductive resistor to the terminals of the source (1). The transistor being connected to a user circuit via a diode (15, 16). The circuit is used in a device for supplying electricity to appliances and by the production of thermal converters for the utilization of low-voltage thermoelectricity, as well as in a method for the manufacture of thermal converters on an industrial scale.",Power converter for supplying electricity from a difference in temperature,H01L
"A method of manufacturing a porous matrix-type drug delivery system is provided. It comprises the steps of: dispersing, stirring, and emulsifying an aqueous solution of a drug in an organic solvent having a polymer compound and a surface active agent solved therein; thereafter forming it into a desirable matrix shape; lyophilizing or drying it at a low temperature or room temperature until the matrix surface is hardened; and drying it again in order to remove the water and the organic solvent.",Method of manufacturing porous matrix-type controlled release systems using emulsion technique,Y10S
"A method of manufacturing a porous matrix-type drug delivery system is provided. It comprises the steps of: dispersing, stirring, and emulsifying an aqueous solution of a drug in an organic solvent having a polymer compound and a surface active agent solved therein; thereafter forming it into a desirable matrix shape; lyophilizing or drying it at a low temperature or room temperature until the matrix surface is hardened; and drying it again in order to remove the water and the organic solvent.",Method of manufacturing porous matrix-type controlled release systems using emulsion technique,Y10S
"A method of manufacturing a porous matrix-type drug delivery system is provided. It comprises the steps of: dispersing, stirring, and emulsifying an aqueous solution of a drug in an organic solvent having a polymer compound and a surface active agent solved therein; thereafter forming it into a desirable matrix shape; lyophilizing or drying it at a low temperature or room temperature until the matrix surface is hardened; and drying it again in order to remove the water and the organic solvent.",Method of manufacturing porous matrix-type controlled release systems using emulsion technique,A61K
"A method of manufacturing a porous matrix-type drug delivery system is provided. It comprises the steps of: dispersing, stirring, and emulsifying an aqueous solution of a drug in an organic solvent having a polymer compound and a surface active agent solved therein; thereafter forming it into a desirable matrix shape; lyophilizing or drying it at a low temperature or room temperature until the matrix surface is hardened; and drying it again in order to remove the water and the organic solvent.",Method of manufacturing porous matrix-type controlled release systems using emulsion technique,Y10S
"A tensioning means for a rotary handpiece is described in which the handpiece (2) is characterized in having a planar rotating blade (12) provided with a plurality of teeth and a plurality of cutting elements (22) capable of moving reciprocally in a linear direction in response to contact by the teeth of the rotary blade (12) when it rotates. There is a clearance gap between the rotary blade and the cutting chips, the size of which is varied by movement of the tensioning means so that the cutting characteristics of the handpiece are changed in accordance with movement of the tensioning means which applies tension to the rotary blade. In one form, the tensioning means comprises a rotating spindle, a flanged member, a bearing member and a resilient means such as an O-ring located between the flanged member and bearing member.",Rotary cutting device having adjustable tension,B26B
" This invention concerns a boiler fitted with a burner suitable for wall heaters or built-in kitchen heaters in which a mantle-shaped heat exchanger made of pipe elements connected in parallel and/or series divides the boiler chamber into a combustion chamber and an exhaust chamber. The heat exchanger has openings for hot flue gases distributed over its mantle. The burner head disposed in the combustion chamber is suitable for burning oil and has a flame tube with an axial flame opening and a flame baffle element disposed at a distance from the flame opening which is constructed so that the flame is diverted into the space between the flame tube and the heat exchanger. In addition, a fire chamber mantle can be disposed between the heat exchanger and the flame tube to protect the heat exchanger from direct contact with the flame. ",Boiler fitted with a burner,F23C
" This invention concerns a boiler fitted with a burner suitable for wall heaters or built-in kitchen heaters in which a mantle-shaped heat exchanger made of pipe elements connected in parallel and/or series divides the boiler chamber into a combustion chamber and an exhaust chamber. The heat exchanger has openings for hot flue gases distributed over its mantle. The burner head disposed in the combustion chamber is suitable for burning oil and has a flame tube with an axial flame opening and a flame baffle element disposed at a distance from the flame opening which is constructed so that the flame is diverted into the space between the flame tube and the heat exchanger. In addition, a fire chamber mantle can be disposed between the heat exchanger and the flame tube to protect the heat exchanger from direct contact with the flame. ",Boiler fitted with a burner,F23D
" This invention concerns a boiler fitted with a burner suitable for wall heaters or built-in kitchen heaters in which a mantle-shaped heat exchanger made of pipe elements connected in parallel and/or series divides the boiler chamber into a combustion chamber and an exhaust chamber. The heat exchanger has openings for hot flue gases distributed over its mantle. The burner head disposed in the combustion chamber is suitable for burning oil and has a flame tube with an axial flame opening and a flame baffle element disposed at a distance from the flame opening which is constructed so that the flame is diverted into the space between the flame tube and the heat exchanger. In addition, a fire chamber mantle can be disposed between the heat exchanger and the flame tube to protect the heat exchanger from direct contact with the flame. ",Boiler fitted with a burner,F23C
" This invention concerns a boiler fitted with a burner suitable for wall heaters or built-in kitchen heaters in which a mantle-shaped heat exchanger made of pipe elements connected in parallel and/or series divides the boiler chamber into a combustion chamber and an exhaust chamber. The heat exchanger has openings for hot flue gases distributed over its mantle. The burner head disposed in the combustion chamber is suitable for burning oil and has a flame tube with an axial flame opening and a flame baffle element disposed at a distance from the flame opening which is constructed so that the flame is diverted into the space between the flame tube and the heat exchanger. In addition, a fire chamber mantle can be disposed between the heat exchanger and the flame tube to protect the heat exchanger from direct contact with the flame. ",Boiler fitted with a burner,F23C
" This invention concerns a boiler fitted with a burner suitable for wall heaters or built-in kitchen heaters in which a mantle-shaped heat exchanger made of pipe elements connected in parallel and/or series divides the boiler chamber into a combustion chamber and an exhaust chamber. The heat exchanger has openings for hot flue gases distributed over its mantle. The burner head disposed in the combustion chamber is suitable for burning oil and has a flame tube with an axial flame opening and a flame baffle element disposed at a distance from the flame opening which is constructed so that the flame is diverted into the space between the flame tube and the heat exchanger. In addition, a fire chamber mantle can be disposed between the heat exchanger and the flame tube to protect the heat exchanger from direct contact with the flame. ",Boiler fitted with a burner,F23D
" This invention concerns a boiler fitted with a burner suitable for wall heaters or built-in kitchen heaters in which a mantle-shaped heat exchanger made of pipe elements connected in parallel and/or series divides the boiler chamber into a combustion chamber and an exhaust chamber. The heat exchanger has openings for hot flue gases distributed over its mantle. The burner head disposed in the combustion chamber is suitable for burning oil and has a flame tube with an axial flame opening and a flame baffle element disposed at a distance from the flame opening which is constructed so that the flame is diverted into the space between the flame tube and the heat exchanger. In addition, a fire chamber mantle can be disposed between the heat exchanger and the flame tube to protect the heat exchanger from direct contact with the flame. ",Boiler fitted with a burner,F23D
" This invention concerns a boiler fitted with a burner suitable for wall heaters or built-in kitchen heaters in which a mantle-shaped heat exchanger made of pipe elements connected in parallel and/or series divides the boiler chamber into a combustion chamber and an exhaust chamber. The heat exchanger has openings for hot flue gases distributed over its mantle. The burner head disposed in the combustion chamber is suitable for burning oil and has a flame tube with an axial flame opening and a flame baffle element disposed at a distance from the flame opening which is constructed so that the flame is diverted into the space between the flame tube and the heat exchanger. In addition, a fire chamber mantle can be disposed between the heat exchanger and the flame tube to protect the heat exchanger from direct contact with the flame. ",Boiler fitted with a burner,F23D
" This invention concerns a boiler fitted with a burner suitable for wall heaters or built-in kitchen heaters in which a mantle-shaped heat exchanger made of pipe elements connected in parallel and/or series divides the boiler chamber into a combustion chamber and an exhaust chamber. The heat exchanger has openings for hot flue gases distributed over its mantle. The burner head disposed in the combustion chamber is suitable for burning oil and has a flame tube with an axial flame opening and a flame baffle element disposed at a distance from the flame opening which is constructed so that the flame is diverted into the space between the flame tube and the heat exchanger. In addition, a fire chamber mantle can be disposed between the heat exchanger and the flame tube to protect the heat exchanger from direct contact with the flame. ",Boiler fitted with a burner,F23M
" This invention concerns a boiler fitted with a burner suitable for wall heaters or built-in kitchen heaters in which a mantle-shaped heat exchanger made of pipe elements connected in parallel and/or series divides the boiler chamber into a combustion chamber and an exhaust chamber. The heat exchanger has openings for hot flue gases distributed over its mantle. The burner head disposed in the combustion chamber is suitable for burning oil and has a flame tube with an axial flame opening and a flame baffle element disposed at a distance from the flame opening which is constructed so that the flame is diverted into the space between the flame tube and the heat exchanger. In addition, a fire chamber mantle can be disposed between the heat exchanger and the flame tube to protect the heat exchanger from direct contact with the flame. ",Boiler fitted with a burner,F23C
" This invention concerns a boiler fitted with a burner suitable for wall heaters or built-in kitchen heaters in which a mantle-shaped heat exchanger made of pipe elements connected in parallel and/or series divides the boiler chamber into a combustion chamber and an exhaust chamber. The heat exchanger has openings for hot flue gases distributed over its mantle. The burner head disposed in the combustion chamber is suitable for burning oil and has a flame tube with an axial flame opening and a flame baffle element disposed at a distance from the flame opening which is constructed so that the flame is diverted into the space between the flame tube and the heat exchanger. In addition, a fire chamber mantle can be disposed between the heat exchanger and the flame tube to protect the heat exchanger from direct contact with the flame. ",Boiler fitted with a burner,F23D
" This invention concerns a boiler fitted with a burner suitable for wall heaters or built-in kitchen heaters in which a mantle-shaped heat exchanger made of pipe elements connected in parallel and/or series divides the boiler chamber into a combustion chamber and an exhaust chamber. The heat exchanger has openings for hot flue gases distributed over its mantle. The burner head disposed in the combustion chamber is suitable for burning oil and has a flame tube with an axial flame opening and a flame baffle element disposed at a distance from the flame opening which is constructed so that the flame is diverted into the space between the flame tube and the heat exchanger. In addition, a fire chamber mantle can be disposed between the heat exchanger and the flame tube to protect the heat exchanger from direct contact with the flame. ",Boiler fitted with a burner,F23D
" This invention concerns a boiler fitted with a burner suitable for wall heaters or built-in kitchen heaters in which a mantle-shaped heat exchanger made of pipe elements connected in parallel and/or series divides the boiler chamber into a combustion chamber and an exhaust chamber. The heat exchanger has openings for hot flue gases distributed over its mantle. The burner head disposed in the combustion chamber is suitable for burning oil and has a flame tube with an axial flame opening and a flame baffle element disposed at a distance from the flame opening which is constructed so that the flame is diverted into the space between the flame tube and the heat exchanger. In addition, a fire chamber mantle can be disposed between the heat exchanger and the flame tube to protect the heat exchanger from direct contact with the flame. ",Boiler fitted with a burner,F24H
" This invention concerns a boiler fitted with a burner suitable for wall heaters or built-in kitchen heaters in which a mantle-shaped heat exchanger made of pipe elements connected in parallel and/or series divides the boiler chamber into a combustion chamber and an exhaust chamber. The heat exchanger has openings for hot flue gases distributed over its mantle. The burner head disposed in the combustion chamber is suitable for burning oil and has a flame tube with an axial flame opening and a flame baffle element disposed at a distance from the flame opening which is constructed so that the flame is diverted into the space between the flame tube and the heat exchanger. In addition, a fire chamber mantle can be disposed between the heat exchanger and the flame tube to protect the heat exchanger from direct contact with the flame. ",Boiler fitted with a burner,F23D
" This invention concerns a boiler fitted with a burner suitable for wall heaters or built-in kitchen heaters in which a mantle-shaped heat exchanger made of pipe elements connected in parallel and/or series divides the boiler chamber into a combustion chamber and an exhaust chamber. The heat exchanger has openings for hot flue gases distributed over its mantle. The burner head disposed in the combustion chamber is suitable for burning oil and has a flame tube with an axial flame opening and a flame baffle element disposed at a distance from the flame opening which is constructed so that the flame is diverted into the space between the flame tube and the heat exchanger. In addition, a fire chamber mantle can be disposed between the heat exchanger and the flame tube to protect the heat exchanger from direct contact with the flame. ",Boiler fitted with a burner,F23C
" This invention concerns a boiler fitted with a burner suitable for wall heaters or built-in kitchen heaters in which a mantle-shaped heat exchanger made of pipe elements connected in parallel and/or series divides the boiler chamber into a combustion chamber and an exhaust chamber. The heat exchanger has openings for hot flue gases distributed over its mantle. The burner head disposed in the combustion chamber is suitable for burning oil and has a flame tube with an axial flame opening and a flame baffle element disposed at a distance from the flame opening which is constructed so that the flame is diverted into the space between the flame tube and the heat exchanger. In addition, a fire chamber mantle can be disposed between the heat exchanger and the flame tube to protect the heat exchanger from direct contact with the flame. ",Boiler fitted with a burner,F24H
" This invention concerns a boiler fitted with a burner suitable for wall heaters or built-in kitchen heaters in which a mantle-shaped heat exchanger made of pipe elements connected in parallel and/or series divides the boiler chamber into a combustion chamber and an exhaust chamber. The heat exchanger has openings for hot flue gases distributed over its mantle. The burner head disposed in the combustion chamber is suitable for burning oil and has a flame tube with an axial flame opening and a flame baffle element disposed at a distance from the flame opening which is constructed so that the flame is diverted into the space between the flame tube and the heat exchanger. In addition, a fire chamber mantle can be disposed between the heat exchanger and the flame tube to protect the heat exchanger from direct contact with the flame. ",Boiler fitted with a burner,F23D
" This invention concerns a boiler fitted with a burner suitable for wall heaters or built-in kitchen heaters in which a mantle-shaped heat exchanger made of pipe elements connected in parallel and/or series divides the boiler chamber into a combustion chamber and an exhaust chamber. The heat exchanger has openings for hot flue gases distributed over its mantle. The burner head disposed in the combustion chamber is suitable for burning oil and has a flame tube with an axial flame opening and a flame baffle element disposed at a distance from the flame opening which is constructed so that the flame is diverted into the space between the flame tube and the heat exchanger. In addition, a fire chamber mantle can be disposed between the heat exchanger and the flame tube to protect the heat exchanger from direct contact with the flame. ",Boiler fitted with a burner,F23C
" This invention concerns a boiler fitted with a burner suitable for wall heaters or built-in kitchen heaters in which a mantle-shaped heat exchanger made of pipe elements connected in parallel and/or series divides the boiler chamber into a combustion chamber and an exhaust chamber. The heat exchanger has openings for hot flue gases distributed over its mantle. The burner head disposed in the combustion chamber is suitable for burning oil and has a flame tube with an axial flame opening and a flame baffle element disposed at a distance from the flame opening which is constructed so that the flame is diverted into the space between the flame tube and the heat exchanger. In addition, a fire chamber mantle can be disposed between the heat exchanger and the flame tube to protect the heat exchanger from direct contact with the flame. ",Boiler fitted with a burner,F23D
 A rotor has an interior free from invasion of water and is resistant to deformation from applied stresses normally encountered during the operation of a vacuum pump. The rotor comprises a rotor shell formed to conform to an outline of lobes and side-plates for covering transverse ends of the rotor shell. A rotation shaft is secured to the side-plates. A hollow section is formed by the rotor shell and the side-plates which is under a vacuum environment. ,Vacuum pump rotor and method of manufacturing the same,F04C
 A rotor has an interior free from invasion of water and is resistant to deformation from applied stresses normally encountered during the operation of a vacuum pump. The rotor comprises a rotor shell formed to conform to an outline of lobes and side-plates for covering transverse ends of the rotor shell. A rotation shaft is secured to the side-plates. A hollow section is formed by the rotor shell and the side-plates which is under a vacuum environment. ,Vacuum pump rotor and method of manufacturing the same,F04C
 A rotor has an interior free from invasion of water and is resistant to deformation from applied stresses normally encountered during the operation of a vacuum pump. The rotor comprises a rotor shell formed to conform to an outline of lobes and side-plates for covering transverse ends of the rotor shell. A rotation shaft is secured to the side-plates. A hollow section is formed by the rotor shell and the side-plates which is under a vacuum environment. ,Vacuum pump rotor and method of manufacturing the same,Y10T
"Fungicidal compositions comprising a mixture of &bgr;-amino butyric acid and conazoles provide synergistic effects for protecting seeds, plants, and other vegetative material from fungi.",Synergistic mixtures of an amino acid,A01N
